Time,Type,Gesture,Foot,Direction,Checkpoint,TrackerName,pos_x,pos_y,pos_z,ang_x,ang_y,ang_z
1675281184083, I, TrackerH,,,,, -0.82479, 1.90316, -5.76587, 278.1539, 294.73395, 241.76823
1675281184083, I, FootR,,,,, -0.82479, 1.90316, -5.76587, 278.1539, 294.73395, 241.7682
1675281184084, I, Head,,,,, -0.82479, 1.90316, -5.76587, 278.1539, 294.73395, 241.76823
1675281184096, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184097, I, TrackerR,,,,, -0.82566, 1.90323, -5.76524, 278.26859, 295.09766, 241.3147
1675281184097, I, TrackerH,,,,, -0.82566, 1.90323, -5.76524, 278.26859, 295.09766, 241.31467
1675281184097, I, FootR,,,,, -0.82566, 1.90323, -5.76524, 278.26859, 295.09766, 241.3147
1675281184097, I, Head,,,,, -0.82566, 1.90323, -5.76524, 278.26859, 295.09766, 241.31467
1675281184105, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184105, I, TrackerR,,,,, -0.8266, 1.90364, -5.76513, 278.39255, 295.26538, 241.0623
1675281184105, I, TrackerH,,,,, -0.8266, 1.90364, -5.76513, 278.39255, 295.26538, 241.06233
1675281184105, I, FootR,,,,, -0.8266, 1.90364, -5.76513, 278.39255, 295.26538, 241.0623
1675281184105, I, Head,,,,, -0.8266, 1.90364, -5.76513, 278.39255, 295.26538, 241.06233
1675281184116, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184116, I, TrackerR,,,,, -0.82752, 1.9036, -5.76459, 278.55786, 295.59491, 240.6545
1675281184116, I, TrackerH,,,,, -0.82752, 1.9036, -5.76459, 278.55786, 295.59491, 240.65454
1675281184117, I, FootR,,,,, -0.82752, 1.9036, -5.76459, 278.55786, 295.59491, 240.6545
1675281184117, I, Head,,,,, -0.82752, 1.9036, -5.76459, 278.55786, 295.59491, 240.65454
1675281184127, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184127, I, TrackerR,,,,, -0.82826, 1.90381, -5.76363, 278.7117, 295.93176, 240.2515
1675281184127, I, TrackerH,,,,, -0.82826, 1.90381, -5.76363, 278.7117, 295.93176, 240.25153
1675281184127, I, FootR,,,,, -0.82826, 1.90381, -5.76363, 278.7117, 295.93176, 240.2515
1675281184128, I, Head,,,,, -0.82826, 1.90381, -5.76363, 278.7117, 295.93176, 240.25153
1675281184138, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184138, I, TrackerR,,,,, -0.82926, 1.90391, -5.76323, 278.8595, 296.18924, 239.93
1675281184138, I, TrackerH,,,,, -0.82926, 1.90391, -5.76323, 278.8595, 296.18924, 239.93002
1675281184138, I, FootR,,,,, -0.82926, 1.90391, -5.76323, 278.8595, 296.18924, 239.93
1675281184139, I, Head,,,,, -0.82926, 1.90391, -5.76323, 278.8595, 296.18924, 239.93002
1675281184149, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184150, I, TrackerR,,,,, -0.83074, 1.90369, -5.76199, 279.03635, 296.22614, 239.809
1675281184150, I, TrackerH,,,,, -0.83074, 1.90369, -5.76199, 279.03635, 296.22614, 239.80896
1675281184150, I, FootR,,,,, -0.83074, 1.90369, -5.76199, 279.03635, 296.22614, 239.809
1675281184150, I, Head,,,,, -0.83074, 1.90369, -5.76199, 279.03635, 296.22614, 239.80896
1675281184161, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184161, I, TrackerR,,,,, -0.83207, 1.90379, -5.76118, 279.22629, 296.17691, 239.7877
1675281184161, I, TrackerH,,,,, -0.83207, 1.90379, -5.76118, 279.22629, 296.17691, 239.78766
1675281184162, I, FootR,,,,, -0.83207, 1.90379, -5.76118, 279.22629, 296.17691, 239.7877
1675281184162, I, Head,,,,, -0.83207, 1.90379, -5.76118, 279.22629, 296.17691, 239.78766
1675281184171, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184172, I, TrackerR,,,,, -0.83406, 1.90421, -5.76058, 279.45361, 295.84454, 240.0491
1675281184172, I, TrackerH,,,,, -0.83406, 1.90421, -5.76058, 279.45361, 295.84454, 240.04913
1675281184172, I, FootR,,,,, -0.83406, 1.90421, -5.76058, 279.45361, 295.84454, 240.0491
1675281184172, I, Head,,,,, -0.83406, 1.90421, -5.76058, 279.45361, 295.84454, 240.04913
1675281184182, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184182, I, TrackerR,,,,, -0.83546, 1.90427, -5.7601, 279.66473, 295.40576, 240.445
1675281184182, I, TrackerH,,,,, -0.83546, 1.90427, -5.7601, 279.66473, 295.40576, 240.44499
1675281184183, I, FootR,,,,, -0.83546, 1.90427, -5.7601, 279.66473, 295.40576, 240.445
